City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,korsun-shevchenkivskyi,49.4189,31.2587,8.3,74,100,2.96,UA,1683168534
118,labytnangi,66.6572,66.4183,0.34,100,100,2.55,RU,1683168118
119,cabo san lucas,22.8909,-109.9124,23.67,66,100,3.6,MX,1683168359
120,lubumbashi,-11.6609,27.4794,10.45,89,0,1.26,CD,1683168535
121,tabas,33.5959,56.9244,24.25,27,0,3.26,IR,1683168536
122,fort bragg,35.139,-79.006,14.75,55,0,3.09,US,1683168289
123,fortuna,40.5982,-124.1573,12.59,87,100,1.8,US,1683168144
124,selfoss,63.9331,-20.9971,3.36,69,100,5.17,IS,1683168136
125,tazovsky,67.4667,78.7,-2.79,88,100,1.39,RU,1683168257
126,susuman,62.7833,148.1667,-0.92,77,96,1.43,RU,1683168070
127,puerto ayora,-0.7393,-90.3518,26.97,90,7,1.34,EC,1683168153
128,ivanava,52.1451,25.5365,3.26,79,14,3.02,BY,1683168541
129,montepuez,-13.1256,38.9997,14.41,97,0,2.04,MZ,1683168541
130,enid,36.3956,-97.8784,16.66,65,0,5.14,US,1683168542
131,hilo,19.7297,-155.09,26.85,74,40,5.66,US,1683168542
132,constantia,44.1833,28.65,11.5,87,100,3.83,RO,1683168158
133,pasighat,28.0667,95.3333,23.98,71,99,0.69,IN,1683168544
134,tamanrasset,22.785,5.5228,21.95,11,0,2.57,DZ,1683168035
135,essaouira,31.5125,-9.77,17.72,68,100,1.54,MA,1683168545
136,saipan,15.1355,145.701,31.39,100,40,5.66,MP,1683168165
137,paijan,-7.7333,-79.3022,22.57,80,31,4.32,PE,1683168546
138,carnarvon,-24.8667,113.6333,26.67,45,3,3.29,AU,1683168319
139,talara,-4.5772,-81.2719,26.42,73,0,7.72,PE,1683168547
140,bodaybo,57.8506,114.1933,4.52,74,98,1.94,RU,1683168548
141,dunedin,-45.8742,170.5036,14.33,98,6,0.89,NZ,1683168149
142,bethel,41.3712,-73.414,10.17,82,100,2.06,US,1683168042
143,nuku'alofa,-21.1333,-175.2,26.19,73,75,9.77,TO,1683168549
144,chegdomyn,51.1167,133.0167,11.16,34,84,7.06,RU,1683168550
145,qaqortoq,60.7167,-46.0333,0.23,72,53,0.55,GL,1683168085
146,benguela,-12.5763,13.4055,24.21,88,99,1.04,AO,1683168551
147,taber,49.8167,-112.1518,26,19,20,3.6,CA,1683168303
148,afaahiti,-17.75,-149.2833,29.48,83,25,8.92,PF,1683168142
149,thompson,55.7435,-97.8558,8.09,61,40,1.03,CA,1683168065
150,liwonde,-15.0506,35.2035,15.07,90,1,0.5,MW,1683168553
151,antigo,45.1402,-89.1523,9.64,81,100,1.54,US,1683168554
152,chos malal,-37.3781,-70.2709,12.23,24,1,1.86,AR,1683168554
153,ceeldheer,3.8488,47.1806,26.93,81,100,5.01,SO,1683168555
154,lycksele,64.5954,18.6735,-5.07,74,37,2.57,SE,1683168556
